机器	机型	配方	计划批每tick	计划负载	端口上限	存货端口数	取货端口数	进料各端口	出料各端口	逐机逐物品守恒
M184	种植机	种植-砂叶	1	1	5	1	1	C067:砂叶种子=1(M206)	C045:砂叶=1(M067)	通过
M185	种植机	种植-砂叶	1	1	5	1	1	C068:砂叶种子=1(M207)	C046:砂叶=1(M202)	通过
M186	种植机	种植-砂叶	1	1	5	1	1	C069:砂叶种子=1(M207)	C047:砂叶=1(M203)	通过
M187	种植机	种植-砂叶	1	1	5	1	1	C070:砂叶种子=1(M208)	C048:砂叶=1(M204)	通过
M188	种植机	种植-砂叶	1	1	5	1	1	C071:砂叶种子=1(M208)	C049:砂叶=1(M205)	通过
M189	种植机	种植-砂叶	1	1	5	1	1	C072:砂叶种子=1(M209)	C050:砂叶=1(M206)	通过
M190	种植机	种植-砂叶	1	1	5	1	1	C073:砂叶种子=1(M209)	C051:砂叶=1(M207)	通过
M191	种植机	种植-砂叶	1	1	5	1	1	C074:砂叶种子=1(M210)	C052:砂叶=1(M208)	通过
M192	种植机	种植-砂叶	1	1	5	1	1	C075:砂叶种子=1(M210)	C053:砂叶=1(M209)	通过
M193	种植机	种植-砂叶	1	1	5	1	1	C076:砂叶种子=1(M211)	C054:砂叶=1(M210)	通过
M194	种植机	种植-砂叶	1	1	5	1	1	C077:砂叶种子=1(M211)	C055:砂叶=1(M211)	通过
M195	种植机	种植-砂叶	1	1	5	1	2	C078:砂叶种子=1(M212)	C056:砂叶=1/2(M068); C057:砂叶=1/2(M212)	通过
M196	采种机	采种-荞花	1	1	5	1	2	C152:荞花=1(M169)	C159:荞花种子=1(M164); C160:荞花种子=1(M165)	通过
M197	采种机	采种-荞花	1	1	5	1	2	C153:荞花=1(M170)	C161:荞花种子=1(M166); C162:荞花种子=1(M167)	通过
M198	采种机	采种-荞花	1	1	5	1	2	C154:荞花=1(M171)	C163:荞花种子=1(M168); C164:荞花种子=1(M169)	通过
M199	采种机	采种-荞花	1	1	5	1	2	C155:荞花=1(M172)	C165:荞花种子=1(M170); C166:荞花种子=1(M171)	通过
M200	采种机	采种-荞花	1	1	5	1	2	C156:荞花=1(M173)	C167:荞花种子=1(M172); C168:荞花种子=1(M173)	通过
M201	采种机	采种-荞花	1/2	1/2	5	1	1	C158:荞花=1/2(M174)	C169:荞花种子=1(M174)	通过
M202	采种机	采种-砂叶	1	1	5	1	2	C046:砂叶=1(M185)	C058:砂叶种子=1(M175); C059:砂叶种子=1(M176)	通过
M203	采种机	采种-砂叶	1	1	5	1	2	C047:砂叶=1(M186)	C060:砂叶种子=1(M177); C061:砂叶种子=1(M178)	通过
M204	采种机	采种-砂叶	1	1	5	1	2	C048:砂叶=1(M187)	C062:砂叶种子=1(M179); C063:砂叶种子=1(M180)	通过
M205	采种机	采种-砂叶	1	1	5	1	2	C049:砂叶=1(M188)	C064:砂叶种子=1(M181); C065:砂叶种子=1(M182)	通过
M206	采种机	采种-砂叶	1	1	5	1	2	C050:砂叶=1(M189)	C066:砂叶种子=1(M183); C067:砂叶种子=1(M184)	通过
M207	采种机	采种-砂叶	1	1	5	1	2	C051:砂叶=1(M190)	C068:砂叶种子=1(M185); C069:砂叶种子=1(M186)	通过
M208	采种机	采种-砂叶	1	1	5	1	2	C052:砂叶=1(M191)	C070:砂叶种子=1(M187); C071:砂叶种子=1(M188)	通过
M209	采种机	采种-砂叶	1	1	5	1	2	C053:砂叶=1(M192)	C072:砂叶种子=1(M189); C073:砂叶种子=1(M190)	通过
M210	采种机	采种-砂叶	1	1	5	1	2	C054:砂叶=1(M193)	C074:砂叶种子=1(M191); C075:砂叶种子=1(M192)	通过
M211	采种机	采种-砂叶	1	1	5	1	2	C055:砂叶=1(M194)	C076:砂叶种子=1(M193); C077:砂叶种子=1(M194)	通过
M212	采种机	采种-砂叶	1/2	1/2	5	1	1	C057:砂叶=1/2(M195)	C078:砂叶种子=1(M195)	通过
M213	封装机	封装-电池	1/5	1	6	5	1	C121:致密源石粉末=1(M137); C126:致密源石粉末=1(M142); C127:致密源石粉末=1(M143); C283:钢制零件=1(M158); C288:钢制零件=1(M163)	C312:高容谷地电池=1/5(协议核心)	通过
M214	封装机	封装-电池	1/5	1	6	5	1	C122:致密源石粉末=1(M138); C125:致密源石粉末=1(M141); C128:致密源石粉末=1(M144); C284:钢制零件=1(M159); C287:钢制零件=1(M162)	C313:高容谷地电池=1/5(协议核心)	通过
M215	封装机	封装-电池	1/5	1	6	5	1	C123:致密源石粉末=1(M139); C124:致密源石粉末=1(M140); C129:致密源石粉末=1(M145); C285:钢制零件=1(M160); C286:钢制零件=1(M161)	C314:高容谷地电池=1/5(协议核心)	通过
M216	灌装机	灌装-胶囊	1/5	1	6	4	1	C115:细磨荞花粉末=1(M146); C119:细磨荞花粉末=1(M150); C306:钢质瓶=1(M152); C310:钢质瓶=1(M156)	C112:精选荞愈胶囊=1/5(协议核心)	通过
M217	灌装机	灌装-胶囊	1/5	1	6	4	1	C116:细磨荞花粉末=1(M147); C118:细磨荞花粉末=1(M149); C307:钢质瓶=1(M153); C309:钢质瓶=1(M155)	C113:精选荞愈胶囊=1/5(协议核心)	通过
M218	灌装机	灌装-胶囊	3/20	3/4	6	4	1	C117:细磨荞花粉末=1(M148); C120:细磨荞花粉末=1/2(M151); C308:钢质瓶=1(M154); C311:钢质瓶=1/2(M157)	C114:精选荞愈胶囊=3/20(协议核心)	通过
