{'P': 10, 'corner_mask': (0, 0), 'min_S': 180, 'resources': (1, 1, 9), 'boundary_cost': 20, 'omitted_J': 0, 'deficit': -7}
{'P': 11, 'corner_mask': (0, 0), 'min_S': 187, 'resources': (1, 4, 36), 'boundary_cost': 11, 'omitted_J': 0, 'deficit': 0}
{'P': 12, 'corner_mask': (0, 0), 'min_S': 196, 'resources': (1, 6, 54), 'boundary_cost': 4, 'omitted_J': 0, 'deficit': 9}
{'P': 11, 'corner_mask': (0, 1), 'min_S': 189, 'resources': (1, 2, 18), 'boundary_cost': 15, 'omitted_J': 0, 'deficit': 2}
{'P': 12, 'corner_mask': (0, 1), 'min_S': 198, 'resources': (1, 4, 42), 'boundary_cost': 8, 'omitted_J': 0, 'deficit': 11}
{'P': 11, 'corner_mask': (1, 0), 'min_S': 189, 'resources': (1, 2, 18), 'boundary_cost': 15, 'omitted_J': 0, 'deficit': 2}
{'P': 12, 'corner_mask': (1, 0), 'min_S': 198, 'resources': (1, 4, 36), 'boundary_cost': 8, 'omitted_J': 0, 'deficit': 11}
{'P': 11, 'corner_mask': (1, 1), 'min_S': 191, 'resources': (1, 0, 0), 'boundary_cost': 19, 'omitted_J': 0, 'deficit': 4}
{'P': 12, 'corner_mask': (1, 1), 'min_S': 198, 'resources': (1, 3, 27), 'boundary_cost': 10, 'omitted_J': 0, 'deficit': 11}
