time,pid,tag,rss_kb,hwm_kb,swap_kb
07:24:59,237435,batch_c_probe_3_,12447100,14845292,0
07:25:00,237435,batch_c_probe_3_,12845280,14845292,0
07:25:02,237435,batch_c_probe_3_,13226292,14845292,0
07:25:03,237435,batch_c_probe_3_,13030716,14845292,0
07:25:04,237435,batch_c_probe_3_,13030716,14845292,0
07:25:05,237435,batch_c_probe_3_,13030716,14845292,0
07:25:06,237435,batch_c_probe_3_,13030716,14845292,0
07:25:07,237435,batch_c_probe_3_,13030716,14845292,0
07:25:08,237435,batch_c_probe_3_,13030716,14845292,0
07:25:09,237435,batch_c_probe_3_,13030716,14845292,0
07:25:10,237435,batch_c_probe_3_,13030716,14845292,0
07:25:11,237435,batch_c_probe_3_,13030716,14845292,0
07:25:12,237435,batch_c_probe_3_,13030716,14845292,0
07:25:13,237435,batch_c_probe_3_,13030716,14845292,0
07:25:14,237435,batch_c_probe_3_,13030716,14845292,0
07:25:15,237435,batch_c_probe_3_,13030716,14845292,0
07:25:16,237435,batch_c_probe_3_,13030716,14845292,0
07:25:17,237435,batch_c_probe_3_,13030716,14845292,0
07:25:18,237435,batch_c_probe_3_,13030716,14845292,0
07:25:19,237435,batch_c_probe_3_,13030716,14845292,0
07:25:20,237435,batch_c_probe_3_,13030716,14845292,0
07:25:21,237435,batch_c_probe_3_,13030716,14845292,0
07:25:22,237435,batch_c_probe_3_,13030716,14845292,0
07:25:23,237435,batch_c_probe_3_,13030716,14845292,0
07:25:24,237435,batch_c_probe_3_,13030716,14845292,0
07:25:25,237435,batch_c_probe_3_,13030716,14845292,0
07:25:26,237435,batch_c_probe_3_,13030716,14845292,0
07:25:27,237435,batch_c_probe_3_,13030716,14845292,0
07:25:28,237435,batch_c_probe_3_,13030716,14845292,0
07:25:29,237435,batch_c_probe_3_,13030716,14845292,0
07:25:30,237435,batch_c_probe_3_,13030716,14845292,0
07:25:31,237435,batch_c_probe_3_,13030716,14845292,0
07:25:32,237435,batch_c_probe_3_,13030716,14845292,0
07:25:33,237435,batch_c_probe_3_,13030716,14845292,0
