{'pos': (1, 60), 'n': 511, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (1, 61), 'n': 478, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (1, 62), 'n': 439, 'status': 0, 'max': 12, 'dual': 12.000000000000004, 'optimal': True}
{'pos': (1, 63), 'n': 400, 'status': 0, 'max': 11, 'dual': 11.0, 'optimal': True}
{'pos': (1, 64), 'n': 364, 'status': 0, 'max': 10, 'dual': 10.0, 'optimal': True}
{'pos': (1, 65), 'n': 331, 'status': 0, 'max': 9, 'dual': 9.0, 'optimal': True}
{'pos': (1, 66), 'n': 300, 'status': 0, 'max': 8, 'dual': 8.0, 'optimal': True}
{'pos': (1, 67), 'n': 270, 'status': 0, 'max': 7, 'dual': 7.0, 'optimal': True}
{'pos': (2, 1), 'n': 270, 'status': 0, 'max': 7, 'dual': 7.0, 'optimal': True}
{'pos': (3, 1), 'n': 300, 'status': 0, 'max': 8, 'dual': 8.0, 'optimal': True}
{'pos': (4, 1), 'n': 331, 'status': 0, 'max': 9, 'dual': 9.0, 'optimal': True}
{'pos': (5, 1), 'n': 364, 'status': 0, 'max': 10, 'dual': 10.0, 'optimal': True}
{'pos': (6, 1), 'n': 400, 'status': 0, 'max': 11, 'dual': 11.0, 'optimal': True}
{'pos': (7, 1), 'n': 439, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (8, 1), 'n': 478, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (9, 1), 'n': 511, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (10, 1), 'n': 537, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (11, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (12, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (13, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (14, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (15, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (16, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (17, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (18, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (19, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (20, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (21, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (22, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (23, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (24, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (25, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (26, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (27, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (28, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (29, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (30, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
