{'pos': (57, 15), 'n': 553, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (58, 15), 'n': 551, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (59, 15), 'n': 537, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (60, 15), 'n': 511, 'status': 0, 'max': 13, 'dual': 13.000000000000043, 'optimal': True}
{'pos': (61, 15), 'n': 478, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (62, 15), 'n': 439, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (63, 15), 'n': 400, 'status': 0, 'max': 11, 'dual': 11.00000000000003, 'optimal': True}
{'pos': (64, 15), 'n': 364, 'status': 0, 'max': 10, 'dual': 10.0, 'optimal': True}
{'pos': (65, 15), 'n': 331, 'status': 0, 'max': 9, 'dual': 9.0, 'optimal': True}
{'pos': (66, 15), 'n': 300, 'status': 0, 'max': 8, 'dual': 8.0, 'optimal': True}
{'pos': (67, 15), 'n': 270, 'status': 0, 'max': 7, 'dual': 7.000000000000011, 'optimal': True}
