01:09:01,1,hot,44
01:09:31,1,hot,85
01:10:01,1,hot,89
01:10:31,1,hot,85
01:12:31,1,hot,44
01:13:01,1,hot,84
01:13:31,1,hot,84
01:14:01,1,hot,84
01:14:31,1,hot,84
01:15:01,1,hot,84
01:15:31,1,hot,87
01:16:01,1,hot,84
01:16:31,1,hot,87
01:17:01,1,hot,84
01:17:31,1,hot,85
01:18:01,1,hot,81
01:18:31,1,hot,83
01:19:01,1,hot,84
01:19:31,1,hot,84
01:20:02,1,hot,84
01:20:32,1,hot,83
01:21:02,1,hot,84
01:21:32,1,hot,81
01:22:02,1,hot,84
01:22:32,1,hot,84
01:23:02,1,hot,84
01:23:32,1,hot,82
01:24:02,1,hot,84
01:24:32,1,hot,84
01:25:02,1,hot,85
01:25:32,1,hot,84
01:26:02,1,hot,82
01:26:32,1,cool,81
01:27:02,1,cool,46
01:27:33,1,cool,44
01:28:03,1,cool,44
01:28:33,1,cool,44
01:29:03,1,cool,44
01:29:33,1,cool,48
01:30:03,1,cool,44
01:30:33,1,cool,44
01:31:03,1,cool,44
01:31:33,1,cool,45
01:32:03,1,cool,45
01:32:33,1,cool,44
01:33:03,1,cool,43
01:33:33,1,cool,50
01:34:03,1,cool,44
01:34:34,1,cool,47
01:37:47,2,hot,44
01:38:17,2,hot,82
01:38:47,2,hot,79
01:39:17,2,hot,82
01:39:47,2,hot,82
01:40:17,2,hot,86
01:40:48,2,hot,82
01:41:18,2,hot,87
01:41:48,2,hot,81
01:42:18,2,hot,82
01:42:48,2,hot,94
01:43:18,2,hot,94
01:43:48,2,hot,84
01:44:18,2,hot,79
01:44:48,2,hot,85
01:45:18,2,hot,80
01:45:48,2,hot,85
01:46:18,2,hot,79
01:46:48,2,hot,79
01:47:18,2,hot,94
01:47:48,2,hot,89
01:48:18,2,hot,90
01:48:48,2,hot,85
01:49:18,2,hot,80
01:49:49,2,hot,83
01:50:19,2,hot,78
01:50:49,2,hot,87
01:51:19,2,hot,82
01:51:49,2,hot,85
01:52:19,2,hot,80
01:52:49,2,hot,87
01:53:19,2,hot,83
01:53:49,2,hot,81
01:54:19,2,hot,80
01:54:49,2,hot,86
01:55:19,2,hot,82
01:55:49,2,hot,81
01:56:19,2,hot,81
01:56:49,2,hot,90
01:57:19,2,hot,84
01:57:49,2,hot,85
01:58:20,2,hot,83
01:58:50,2,hot,90
01:59:20,2,hot,85
01:59:50,2,hot,85
02:00:20,2,hot,80
02:00:50,2,hot,79
02:01:20,2,hot,84
02:01:50,2,hot,80
02:02:20,2,hot,84
02:02:50,2,hot,87
02:03:20,2,hot,80
02:03:50,2,hot,80
02:04:20,2,hot,84
02:04:50,2,hot,86
02:05:20,2,hot,85
02:05:50,2,hot,78
02:06:20,2,hot,87
02:06:50,2,hot,80
02:07:21,2,hot,82
02:07:51,2,hot,81
02:08:21,2,hot,81
02:08:51,2,hot,78
02:09:21,2,hot,79
02:09:51,2,hot,80
02:10:21,2,hot,80
02:10:51,2,hot,77
02:11:21,2,hot,82
02:11:51,2,hot,80
02:12:21,2,hot,80
02:12:51,2,hot,86
02:13:21,2,hot,81
02:13:51,2,hot,80
02:14:21,2,hot,81
02:14:51,2,hot,78
02:15:21,2,hot,80
02:15:51,2,hot,78
02:16:22,2,hot,82
02:16:52,2,hot,82
02:17:22,2,hot,82
02:17:52,2,hot,79
02:18:22,2,hot,85
02:18:52,2,hot,76
02:19:22,2,hot,81
02:19:52,2,hot,85
02:20:22,2,hot,87
02:20:52,2,hot,82
02:21:22,2,hot,84
02:21:52,2,hot,80
02:22:22,2,hot,82
02:22:52,2,hot,82
02:23:22,2,hot,87
02:23:52,2,hot,85
02:24:22,2,hot,84
02:24:52,2,hot,80
02:25:23,2,hot,79
02:25:53,2,hot,82
02:26:23,2,hot,80
02:26:53,2,hot,79
02:27:23,2,hot,81
02:27:53,2,hot,84
02:28:23,2,hot,85
02:28:53,2,hot,78
02:29:23,2,hot,86
02:29:53,2,hot,78
02:30:23,2,hot,79
02:30:53,2,hot,81
02:31:23,2,hot,79
02:31:53,2,hot,87
02:32:23,2,hot,82
02:32:53,2,hot,79
02:33:23,2,hot,84
02:33:53,2,hot,80
02:34:24,2,hot,79
02:34:54,2,hot,80
02:35:24,2,hot,82
02:35:54,2,hot,78
02:36:24,2,hot,84
02:36:54,2,hot,77
02:37:24,2,hot,82
02:37:54,2,cool,66
02:38:24,2,cool,46
02:38:54,2,cool,53
02:39:24,2,cool,48
02:39:54,2,cool,48
02:40:24,2,cool,46
02:40:54,2,cool,45
02:41:24,2,cool,44
02:41:54,2,cool,46
02:42:25,2,cool,44
02:42:55,2,cool,48
02:43:25,2,cool,46
02:43:55,2,cool,44
02:44:25,2,cool,45
02:44:55,2,cool,45
02:45:25,2,cool,45
02:45:55,2,cool,46
02:46:25,2,cool,44
02:46:55,2,cool,45
02:47:25,2,cool,46
02:47:55,2,cool,46
02:48:25,2,cool,45
02:48:55,2,cool,44
02:49:25,2,cool,49
02:49:56,2,cool,45
02:50:26,2,cool,44
02:50:56,2,cool,45
03:01:26,3,hot,60
